date,state_x,cases,deaths,state_y,anxiety,cough,depression,fever,generalized_anxiety_disorder,nausea,State,State Code,Region,Division
2020-02-08,Wisconsin,1,0,US-WI,6.23,8.18,3.84,5.0,0.87,1.99,Wisconsin,WI,Midwest,East North Central
2020-02-09,Arizona,1,0,US-AZ,8.03,9.62,5.27,5.71,1.04,2.33,Arizona,AZ,West,Mountain
2020-02-09,California,6,0,US-CA,8.05,9.49,5.11,5.78,1.07,2.16,California,CA,West,Pacific
2020-02-09,Illinois,2,0,US-IL,7.41,8.57,4.77,5.63,1.02,2.15,Illinois,IL,Midwest,East North Central
2020-02-09,Massachusetts,1,0,US-MA,7.37,8.63,4.68,5.38,0.95,2.09,Massachusetts,MA,Northeast,New England
2020-02-09,Washington,1,0,US-WA,8.98,7.97,5.81,5.04,1.18,2.38,Washington,WA,West,Pacific
2020-02-09,Wisconsin,1,0,US-WI,7.13,8.12,4.32,5.0,0.9,2.02,Wisconsin,WI,Midwest,East North Central
2020-02-10,Arizona,1,0,US-AZ,8.47,9.77,5.33,5.75,1.22,2.19,Arizona,AZ,West,Mountain
2020-02-10,California,7,0,US-CA,8.72,9.66,5.35,5.88,1.23,2.19,California,CA,West,Pacific
2020-02-10,Illinois,2,0,US-IL,8.12,8.89,5.15,5.77,1.2,2.1,Illinois,IL,Midwest,East North Central
2020-02-10,Massachusetts,1,0,US-MA,8.2,8.87,5.05,5.61,1.17,1.97,Massachusetts,MA,Northeast,New England
2020-02-10,Washington,1,0,US-WA,9.19,8.14,6.1,5.17,1.31,2.38,Washington,WA,West,Pacific
2020-02-10,Wisconsin,1,0,US-WI,7.46,8.39,4.77,5.33,1.11,2.11,Wisconsin,WI,Midwest,East North Central
2020-02-11,Arizona,1,0,US-AZ,8.41,9.57,5.25,5.44,1.26,2.14,Arizona,AZ,West,Mountain
2020-02-11,California,7,0,US-CA,8.88,9.46,5.42,5.83,1.22,2.07,California,CA,West,Pacific
2020-02-11,Illinois,2,0,US-IL,8.04,8.69,5.08,5.57,1.15,2.04,Illinois,IL,Midwest,East North Central
2020-02-11,Massachusetts,1,0,US-MA,8.21,8.59,4.97,5.39,1.16,1.98,Massachusetts,MA,Northeast,New England
2020-02-11,Washington,1,0,US-WA,9.53,8.04,6.14,5.26,1.31,2.27,Washington,WA,West,Pacific
2020-02-11,Wisconsin,1,0,US-WI,7.7,8.28,4.77,5.35,1.15,1.9,Wisconsin,WI,Midwest,East North Central
